,months_as_customer,policy_csl,policy_deductable,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,police_report_available,injury_claim,property_claim,vehicle_claim,fraud_reported
327,276,100/300,1000,MALE,PhD,craft-repair,own-child,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,YES,NO,5980,11960,47840,N
328,257,250/500,500,MALE,MD,armed-forces,husband,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,3,NO,YES,9420,4710,37680,Y
329,78,250/500,1000,MALE,PhD,protective-serv,own-child,0,-27900,Single Vehicle Collision,Front Collision,Major Damage,Other,21,1,NO,NO,5060,10120,40480,Y
330,129,500/1000,1000,MALE,Masters,machine-op-inspct,not-in-family,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,23,1,NO,NO,9920,4960,29760,N
331,283,500/1000,2000,FEMALE,PhD,transport-moving,husband,53500,-73600,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,NO,NO,7060,14120,56480,Y
332,85,250/500,500,FEMALE,JD,tech-support,unmarried,67000,-53600,Parked Car,Rear Collision,Trivial Damage,None,8,1,NO,NO,940,940,3760,N
333,101,500/1000,1000,FEMALE,MD,prof-specialty,husband,0,0,Parked Car,Rear Collision,Trivial Damage,None,4,1,NO,NO,580,580,2030,N
334,96,100/300,500,MALE,College,prof-specialty,wife,38900,-48700,Single Vehicle Collision,Side Collision,Total Loss,Fire,22,1,NO,YES,0,6680,46760,N
335,121,500/1000,1000,FEMALE,JD,armed-forces,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,NO,YES,7250,7250,50750,N
336,176,250/500,500,MALE,College,armed-forces,unmarried,0,-56600,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,14,3,NO,NO,4920,4920,34440,N
337,159,500/1000,1000,MALE,Associate,tech-support,wife,0,-53700,Single Vehicle Collision,Rear Collision,Total Loss,Police,13,1,YES,NO,7810,7810,54670,N
338,120,250/500,500,FEMALE,Associate,priv-house-serv,husband,39600,-64300,Single Vehicle Collision,Front Collision,Minor Damage,Other,20,1,NO,YES,8710,8710,69680,N
339,212,500/1000,2000,MALE,MD,priv-house-serv,unmarried,35400,-49200,Multi-vehicle Collision,Front Collision,Total Loss,Fire,0,3,NO,NO,4580,4580,41220,N
340,290,100/300,500,FEMALE,JD,sales,wife,0,-61000,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,YES,NO,12960,6480,45360,Y
341,299,100/300,2000,FEMALE,Associate,craft-repair,wife,25000,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,YES,NO,12800,12800,44800,N
342,66,250/500,1000,MALE,College,armed-forces,own-child,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,8,1,NO,YES,0,10520,47340,Y
343,334,500/1000,500,MALE,Masters,protective-serv,other-relative,0,0,Vehicle Theft,Rear Collision,Minor Damage,None,3,1,NO,NO,960,960,4320,N
344,216,100/300,1000,FEMALE,Associate,tech-support,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,16,1,NO,NO,16650,11100,38850,Y
345,86,100/300,2000,MALE,PhD,transport-moving,unmarried,75800,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,1,YES,YES,11820,11820,47280,N
346,429,250/500,1000,MALE,Associate,machine-op-inspct,own-child,67400,-43800,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,0,1,YES,YES,6580,6580,26320,N
347,257,500/1000,2000,FEMALE,PhD,handlers-cleaners,husband,46400,-74300,Single Vehicle Collision,Front Collision,Total Loss,Other,12,1,NO,YES,10540,5270,47430,N
348,15,100/300,1000,MALE,JD,tech-support,not-in-family,56700,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,21,3,YES,NO,12300,6150,49200,N
349,230,100/300,1000,FEMALE,MD,craft-repair,unmarried,68600,-22300,Single Vehicle Collision,Front Collision,Major Damage,Fire,0,1,NO,NO,14840,14840,44520,Y
350,250,500/1000,1000,FEMALE,JD,tech-support,own-child,47900,-73400,Single Vehicle Collision,Side Collision,Minor Damage,Other,22,1,YES,NO,12980,12980,38940,N
351,270,500/1000,2000,FEMALE,Associate,machine-op-inspct,other-relative,47200,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,NO,NO,7180,3590,25130,Y
352,65,100/300,500,FEMALE,High School,craft-repair,unmarried,0,-41500,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,0,1,NO,NO,5220,10440,36540,N
353,475,100/300,500,MALE,Masters,adm-clerical,own-child,67400,-83200,Single Vehicle Collision,Front Collision,Minor Damage,Police,20,1,NO,NO,6500,13000,58500,N
354,77,500/1000,2000,FEMALE,High School,adm-clerical,own-child,56400,-32800,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,1,3,YES,NO,6720,6720,53760,N
355,256,100/300,500,FEMALE,MD,prof-specialty,unmarried,56700,-65600,Single Vehicle Collision,Rear Collision,Total Loss,Fire,11,1,NO,NO,11500,5750,46000,N
356,229,250/500,2000,FEMALE,MD,craft-repair,not-in-family,65600,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,14,3,YES,YES,11460,5730,51570,N
357,110,250/500,1000,MALE,College,other-service,other-relative,30400,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,20,3,YES,NO,10840,10840,43360,N
358,177,100/300,1000,MALE,College,adm-clerical,wife,0,-13200,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,22,1,NO,NO,20700,13800,48300,Y
359,292,500/1000,500,MALE,PhD,priv-house-serv,unmarried,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,12,1,NO,YES,6170,6170,49360,N
360,451,250/500,2000,FEMALE,Associate,transport-moving,unmarried,0,-42600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,3,3,YES,YES,15620,7810,54670,Y
361,61,100/300,500,FEMALE,College,priv-house-serv,other-relative,47400,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,YES,NO,9360,9360,46800,Y
362,150,100/300,1000,MALE,MD,prof-specialty,own-child,0,0,Parked Car,Rear Collision,Trivial Damage,None,8,1,YES,NO,450,450,3600,N
363,283,100/300,500,FEMALE,Associate,sales,own-child,60700,-54300,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,3,NO,NO,0,6100,36600,Y
364,291,500/1000,1000,FEMALE,High School,adm-clerical,own-child,0,-55300,Parked Car,Rear Collision,Minor Damage,Police,8,1,NO,YES,620,620,4340,Y
365,162,100/300,1000,FEMALE,Masters,adm-clerical,wife,30700,0,Parked Car,Rear Collision,Minor Damage,None,7,1,NO,NO,360,720,2520,Y
366,154,250/500,2000,FEMALE,Masters,exec-managerial,own-child,68500,0,Vehicle Theft,Rear Collision,Trivial Damage,None,9,1,NO,NO,280,280,2240,N
367,289,500/1000,2000,FEMALE,Associate,adm-clerical,own-child,73000,-37900,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,15,1,NO,YES,6000,6000,42000,N
368,10,250/500,1000,FEMALE,JD,craft-repair,wife,0,-60700,Single Vehicle Collision,Side Collision,Minor Damage,Police,5,1,NO,NO,4450,8900,35600,Y
369,309,500/1000,500,MALE,PhD,exec-managerial,other-relative,69400,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,15,4,YES,NO,15560,15560,46680,N
370,396,100/300,1000,MALE,High School,protective-serv,other-relative,0,-22400,Multi-vehicle Collision,Front Collision,Major Damage,Other,22,3,YES,NO,11680,5840,35040,N
371,273,500/1000,1000,FEMALE,PhD,farming-fishing,own-child,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,16,2,NO,YES,4010,8020,32080,N
372,129,500/1000,2000,FEMALE,PhD,sales,husband,51500,0,Single Vehicle Collision,Front Collision,Total Loss,Other,7,1,NO,NO,13520,6760,54080,N
373,140,250/500,2000,FEMALE,JD,armed-forces,wife,59000,0,Parked Car,Rear Collision,Minor Damage,None,2,1,YES,NO,680,680,4760,Y
374,419,500/1000,2000,MALE,College,transport-moving,unmarried,45700,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,17,4,NO,YES,5190,10380,46710,N
375,315,250/500,1000,FEMALE,Masters,sales,other-relative,0,-56800,Multi-vehicle Collision,Front Collision,Total Loss,Other,12,3,NO,YES,4860,4860,17010,N
376,72,500/1000,500,FEMALE,Associate,craft-repair,own-child,0,-85900,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,9,1,NO,NO,6620,6620,52960,N
377,32,100/300,2000,MALE,JD,other-service,not-in-family,0,-79800,Single Vehicle Collision,Side Collision,Total Loss,Fire,16,1,NO,NO,9100,4550,31850,N
378,230,100/300,1000,MALE,JD,transport-moving,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,19,3,NO,NO,4420,4420,44200,N
379,157,100/300,2000,MALE,College,other-service,other-relative,0,-54100,Multi-vehicle Collision,Front Collision,Major Damage,Other,14,3,NO,NO,10160,5080,35560,Y
380,265,250/500,2000,FEMALE,Associate,craft-repair,own-child,81800,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,18,3,NO,NO,4420,4420,35360,N
381,47,500/1000,500,FEMALE,PhD,exec-managerial,other-relative,64800,-24300,Single Vehicle Collision,Front Collision,Minor Damage,Police,23,1,YES,NO,11440,5720,45760,N
382,113,250/500,2000,MALE,PhD,exec-managerial,not-in-family,36100,-42300,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,15,3,NO,YES,5550,5550,38850,Y
383,289,250/500,2000,MALE,JD,armed-forces,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,18,1,YES,YES,6270,6270,43890,Y
384,254,250/500,2000,FEMALE,Masters,protective-serv,own-child,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,16,1,NO,YES,18220,18220,63770,N
385,115,500/1000,500,MALE,High School,prof-specialty,wife,46400,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,12,3,NO,YES,5460,5460,38220,N
386,236,250/500,1000,FEMALE,College,other-service,not-in-family,0,-62500,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,16,1,NO,NO,16710,5570,44560,N
387,7,500/1000,1000,MALE,Associate,machine-op-inspct,wife,0,-45300,Single Vehicle Collision,Front Collision,Total Loss,Other,21,1,NO,NO,6940,6940,48580,N
388,208,100/300,2000,MALE,JD,machine-op-inspct,wife,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,15,3,YES,NO,11420,11420,39970,N
389,126,500/1000,1000,FEMALE,JD,priv-house-serv,own-child,36700,-73400,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,21,1,YES,NO,6770,6770,40620,N
390,48,100/300,500,FEMALE,JD,exec-managerial,unmarried,0,-51000,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,1,1,YES,NO,9680,4840,33880,N
391,297,250/500,1000,MALE,PhD,exec-managerial,other-relative,54900,-36700,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,NO,NO,5720,5720,40040,N
392,160,100/300,1000,FEMALE,High School,prof-specialty,husband,0,-36600,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,5,3,NO,NO,5170,10340,36190,N
393,406,250/500,2000,MALE,MD,exec-managerial,own-child,0,-42700,Multi-vehicle Collision,Front Collision,Total Loss,Other,15,3,NO,NO,10920,5460,49140,N
394,157,500/1000,500,MALE,High School,farming-fishing,own-child,40700,-41600,Multi-vehicle Collision,Rear Collision,Major Damage,Other,2,4,NO,NO,4770,9540,33390,Y
395,146,250/500,2000,FEMALE,PhD,machine-op-inspct,not-in-family,61400,-57500,Vehicle Theft,Rear Collision,Minor Damage,None,3,1,YES,NO,580,580,4060,N
396,409,100/300,1000,MALE,High School,protective-serv,unmarried,55600,0,Single Vehicle Collision,Side Collision,Major Damage,Other,19,1,NO,NO,6110,12220,54990,N
397,252,100/300,1000,MALE,Masters,adm-clerical,wife,0,-28800,Single Vehicle Collision,Front Collision,Minor Damage,Fire,17,1,YES,YES,14980,7490,52430,N
398,6,250/500,500,FEMALE,High School,prof-specialty,unmarried,0,-47400,Vehicle Theft,Rear Collision,Trivial Damage,Police,7,1,NO,YES,580,290,2320,N
399,103,100/300,1000,MALE,MD,armed-forces,own-child,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,21,1,NO,YES,12820,6410,57690,N
400,369,250/500,2000,FEMALE,Masters,priv-house-serv,not-in-family,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,10,2,YES,NO,7090,14180,56720,N
401,261,500/1000,1000,MALE,MD,transport-moving,own-child,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,11,1,YES,NO,9180,9180,41310,N
402,159,100/300,2000,FEMALE,College,craft-repair,husband,69200,-36900,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,23,3,YES,NO,8160,4080,32640,Y
403,344,100/300,2000,MALE,Associate,sales,other-relative,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,14,1,NO,NO,7530,15060,60240,N
404,437,500/1000,1000,FEMALE,College,armed-forces,unmarried,48800,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,10,1,NO,NO,7680,15360,61440,Y
405,65,100/300,500,FEMALE,College,transport-moving,wife,0,-66300,Multi-vehicle Collision,Side Collision,Total Loss,Fire,6,3,NO,NO,15960,7980,55860,N
406,280,500/1000,2000,MALE,MD,adm-clerical,husband,29300,-64700,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,10,3,NO,YES,9640,9640,33740,N
407,269,500/1000,500,FEMALE,High School,machine-op-inspct,wife,54800,-64100,Multi-vehicle Collision,Side Collision,Total Loss,Police,5,3,NO,NO,2200,4400,17600,N
408,275,250/500,2000,MALE,Masters,exec-managerial,unmarried,0,-45300,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,17,1,NO,YES,7860,7860,27510,N
409,265,250/500,500,FEMALE,College,exec-managerial,unmarried,0,0,Vehicle Theft,Rear Collision,Trivial Damage,None,3,1,NO,NO,290,580,2320,N
410,283,100/300,2000,FEMALE,Associate,adm-clerical,not-in-family,0,-50400,Parked Car,Rear Collision,Minor Damage,None,9,1,NO,NO,1300,650,3900,N
411,84,250/500,1000,FEMALE,High School,machine-op-inspct,not-in-family,0,-29900,Parked Car,Rear Collision,Trivial Damage,Police,6,1,YES,YES,620,1240,4960,N
412,247,250/500,2000,FEMALE,College,farming-fishing,not-in-family,64000,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,22,3,NO,NO,11580,11580,46320,N
413,56,100/300,1000,MALE,Masters,prof-specialty,own-child,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,10,3,NO,YES,7880,15760,70920,N
414,210,500/1000,1000,MALE,Associate,armed-forces,unmarried,0,0,Vehicle Theft,Rear Collision,Minor Damage,None,4,1,YES,NO,780,780,6240,N
415,108,500/1000,2000,FEMALE,High School,machine-op-inspct,unmarried,63900,-43700,Single Vehicle Collision,Front Collision,Total Loss,Other,23,1,NO,NO,5570,11140,44560,N
416,328,500/1000,500,FEMALE,Masters,transport-moving,wife,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,19,1,NO,YES,8930,8930,53580,N
417,186,250/500,2000,FEMALE,JD,priv-house-serv,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,22,1,YES,YES,11120,5560,38920,N
418,277,500/1000,500,MALE,High School,priv-house-serv,unmarried,0,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,6,1,NO,NO,1000,500,3500,N
419,138,250/500,500,FEMALE,JD,exec-managerial,own-child,56900,-56900,Single Vehicle Collision,Side Collision,Minor Damage,Other,6,1,NO,NO,14740,14740,66330,N
420,208,100/300,1000,FEMALE,College,tech-support,husband,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,18,1,NO,NO,6930,13860,48510,N
421,147,250/500,1000,MALE,MD,prof-specialty,other-relative,0,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,1,NO,NO,13520,20280,47320,N
422,8,500/1000,500,MALE,High School,handlers-cleaners,husband,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,21,1,NO,NO,14040,14040,63180,N
423,297,100/300,1000,FEMALE,MD,other-service,wife,0,-54700,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,NO,NO,6060,12120,42420,N
424,150,500/1000,1000,MALE,Masters,machine-op-inspct,husband,52800,0,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,6,3,NO,YES,6480,12960,45360,Y
425,4,500/1000,500,FEMALE,College,exec-managerial,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,0,4,NO,NO,6080,12160,48640,Y
426,210,500/1000,1000,MALE,Masters,farming-fishing,not-in-family,44900,-91400,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,11,1,NO,NO,5820,5820,46560,N
427,91,100/300,1000,FEMALE,High School,priv-house-serv,own-child,63600,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,1,NO,NO,6730,6730,47110,N
428,167,100/300,1000,FEMALE,Masters,exec-managerial,other-relative,0,-38400,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,22,3,NO,NO,8710,8710,52260,Y
429,467,500/1000,2000,MALE,Masters,transport-moving,own-child,82200,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,2,1,YES,NO,5570,11140,38990,N
430,264,250/500,2000,FEMALE,JD,transport-moving,other-relative,0,-67400,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,16,4,YES,YES,5670,5670,51030,N
431,270,500/1000,500,FEMALE,PhD,priv-house-serv,not-in-family,83200,-53300,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,NO,YES,9880,0,44460,N
432,310,100/300,1000,FEMALE,Masters,priv-house-serv,other-relative,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,21,1,YES,NO,6130,6130,42910,Y
433,143,100/300,500,MALE,College,priv-house-serv,wife,67900,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,10,1,NO,YES,11700,5850,40950,N
434,146,100/300,2000,MALE,Associate,priv-house-serv,own-child,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,12,1,NO,NO,6660,6660,46620,N
435,102,250/500,500,MALE,MD,machine-op-inspct,wife,55200,0,Single Vehicle Collision,Side Collision,Total Loss,Police,6,1,NO,NO,7340,7340,58720,N
436,61,100/300,500,MALE,JD,exec-managerial,other-relative,54600,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,6,1,NO,NO,4650,4650,32550,N
437,255,500/1000,2000,FEMALE,PhD,priv-house-serv,not-in-family,68500,0,Parked Car,Rear Collision,Trivial Damage,Police,7,1,NO,NO,640,1280,4480,Y
438,211,500/1000,1000,FEMALE,PhD,other-service,own-child,0,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,3,1,NO,NO,580,290,2320,N
439,61,250/500,1000,MALE,JD,handlers-cleaners,unmarried,0,-66000,Parked Car,Rear Collision,Trivial Damage,None,10,1,YES,YES,590,590,4720,N
440,108,500/1000,2000,MALE,Masters,protective-serv,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Fire,14,1,NO,NO,6370,6370,44590,N
441,303,100/300,500,MALE,MD,tech-support,own-child,54600,-45500,Multi-vehicle Collision,Front Collision,Total Loss,Other,17,3,NO,NO,13660,13660,54640,N
442,152,250/500,500,FEMALE,PhD,transport-moving,wife,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,16,1,YES,NO,6400,19200,44800,Y
443,120,500/1000,1000,FEMALE,JD,protective-serv,not-in-family,77900,0,Parked Car,Rear Collision,Minor Damage,None,3,1,NO,NO,580,580,2610,N
444,144,500/1000,2000,FEMALE,Associate,sales,other-relative,23600,-15600,Parked Car,Rear Collision,Minor Damage,None,7,1,NO,NO,740,1480,5180,N
445,414,500/1000,500,FEMALE,High School,farming-fishing,unmarried,44000,-71000,Single Vehicle Collision,Rear Collision,Total Loss,Police,13,1,YES,NO,6090,6090,42630,Y
446,163,250/500,500,FEMALE,JD,priv-house-serv,own-child,0,-67300,Single Vehicle Collision,Rear Collision,Total Loss,Fire,20,1,YES,YES,4940,9880,34580,N
447,352,250/500,500,MALE,Associate,tech-support,wife,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,23,1,YES,NO,12500,6250,50000,N
448,27,100/300,500,FEMALE,PhD,adm-clerical,other-relative,37900,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,11,1,NO,NO,12300,6150,43050,N
449,239,100/300,500,FEMALE,Masters,other-service,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,0,4,NO,NO,6990,13980,55920,N
450,33,100/300,500,FEMALE,PhD,other-service,husband,70300,-50300,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,2,1,YES,NO,6230,12460,37380,N
451,88,100/300,1000,FEMALE,College,transport-moving,husband,42800,-51200,Single Vehicle Collision,Side Collision,Total Loss,Fire,3,1,NO,YES,14000,0,42000,N
452,101,500/1000,1000,FEMALE,College,priv-house-serv,unmarried,12100,0,Parked Car,Rear Collision,Trivial Damage,None,3,1,YES,NO,780,390,3120,N
453,20,250/500,500,FEMALE,Associate,transport-moving,husband,33000,-43600,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,NO,NO,6750,6750,47250,N
454,126,250/500,2000,FEMALE,Associate,machine-op-inspct,not-in-family,46500,-42700,Single Vehicle Collision,Side Collision,Minor Damage,Other,23,1,NO,NO,4430,4430,39870,N
455,264,500/1000,2000,MALE,Associate,adm-clerical,not-in-family,0,-8500,Multi-vehicle Collision,Front Collision,Minor Damage,Police,9,3,YES,NO,17300,17300,60550,N
456,78,100/300,500,MALE,Masters,craft-repair,husband,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,20,1,NO,YES,680,680,6120,N
457,123,100/300,2000,MALE,Masters,transport-moving,own-child,38000,-41200,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,5,1,NO,YES,13300,6650,59850,Y
458,347,500/1000,500,FEMALE,MD,priv-house-serv,unmarried,0,-12100,Single Vehicle Collision,Side Collision,Total Loss,Other,15,1,YES,NO,8630,17260,77670,N
459,163,500/1000,2000,FEMALE,PhD,other-service,other-relative,51700,0,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,13,1,YES,NO,15900,7950,55650,N
460,271,250/500,500,FEMALE,High School,tech-support,other-relative,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,16,1,NO,NO,6930,13860,55440,Y
461,410,100/300,2000,MALE,MD,protective-serv,own-child,0,-17000,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,0,1,YES,NO,9920,9920,39680,N
462,448,100/300,2000,FEMALE,PhD,tech-support,own-child,38600,-50300,Multi-vehicle Collision,Front Collision,Major Damage,Police,10,3,NO,NO,5970,5970,35820,Y
463,218,100/300,500,MALE,JD,prof-specialty,wife,37900,-72900,Multi-vehicle Collision,Side Collision,Total Loss,Police,14,3,NO,NO,15380,7690,61520,N
464,43,500/1000,1000,MALE,PhD,handlers-cleaners,other-relative,64400,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,1,3,YES,NO,6850,6850,47950,N
465,33,500/1000,1000,FEMALE,Associate,handlers-cleaners,unmarried,45500,-60600,Single Vehicle Collision,Rear Collision,Major Damage,Police,16,1,NO,NO,8140,8140,65120,N
466,126,100/300,2000,FEMALE,Masters,transport-moving,wife,54500,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,2,3,NO,YES,10620,5310,42480,N
467,411,250/500,1000,FEMALE,College,protective-serv,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,23,3,NO,NO,3510,3510,31590,N
468,225,100/300,1000,FEMALE,High School,farming-fishing,not-in-family,49600,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,NO,NO,9600,9600,38400,N
469,35,100/300,2000,FEMALE,PhD,protective-serv,not-in-family,0,-51900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,23,3,NO,NO,5910,11820,35460,N
470,460,100/300,2000,FEMALE,JD,craft-repair,husband,62500,0,Single Vehicle Collision,Front Collision,Major Damage,Other,10,1,NO,NO,5830,11660,40810,Y
471,195,500/1000,2000,MALE,MD,tech-support,unmarried,38000,-50300,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,12,3,YES,NO,7180,0,57440,N
472,360,250/500,1000,MALE,PhD,armed-forces,not-in-family,0,-62400,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,15,3,NO,YES,15080,15080,60320,N
473,300,100/300,1000,FEMALE,PhD,farming-fishing,wife,0,0,Vehicle Theft,Rear Collision,Trivial Damage,None,3,1,NO,NO,1180,1180,4720,N
474,245,500/1000,1000,MALE,JD,exec-managerial,other-relative,0,-68900,Parked Car,Rear Collision,Minor Damage,Police,19,1,NO,NO,590,1180,4720,Y
475,146,500/1000,2000,FEMALE,Masters,other-service,other-relative,34500,-60600,Multi-vehicle Collision,Side Collision,Total Loss,Police,16,3,NO,NO,5590,5590,44720,N
476,67,250/500,1000,MALE,High School,adm-clerical,husband,60400,-67800,Single Vehicle Collision,Rear Collision,Major Damage,Other,16,1,NO,YES,6380,6380,51040,Y
477,380,100/300,1000,MALE,MD,farming-fishing,other-relative,66000,0,Single Vehicle Collision,Side Collision,Total Loss,Police,10,1,NO,YES,7270,7270,43620,Y
478,389,500/1000,2000,MALE,Masters,armed-forces,unmarried,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,6,1,NO,NO,630,1260,4410,Y
479,317,250/500,1000,MALE,MD,sales,other-relative,43700,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,18,1,NO,NO,19020,19020,66570,Y
480,264,100/300,500,MALE,College,exec-managerial,wife,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,20,3,NO,NO,12700,6350,50800,N
481,20,250/500,1000,FEMALE,Masters,priv-house-serv,other-relative,0,-41200,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,14,1,NO,NO,12580,6290,44030,N
482,116,500/1000,500,MALE,JD,handlers-cleaners,not-in-family,0,-35500,Multi-vehicle Collision,Front Collision,Major Damage,Other,8,3,NO,NO,6630,6630,46410,Y
483,222,100/300,1000,MALE,JD,armed-forces,unmarried,49600,-49200,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,17,2,YES,NO,16300,8150,57050,N
484,439,100/300,500,MALE,High School,armed-forces,own-child,48900,-40900,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,9,1,NO,NO,15000,5000,30000,N
485,66,100/300,2000,MALE,Associate,adm-clerical,husband,0,-31700,Single Vehicle Collision,Front Collision,Total Loss,Other,0,1,NO,NO,8780,8780,30730,N
486,128,500/1000,1000,MALE,High School,other-service,husband,0,-76000,Single Vehicle Collision,Rear Collision,Total Loss,Fire,2,1,NO,NO,5370,5370,48330,N
487,69,500/1000,500,FEMALE,High School,armed-forces,other-relative,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,NO,NO,12660,6330,44310,N
488,294,100/300,500,MALE,College,prof-specialty,own-child,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,8,1,NO,YES,11960,11960,41860,N
489,19,250/500,500,MALE,JD,transport-moving,not-in-family,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,6,3,NO,NO,11600,11600,52200,Y
490,191,500/1000,2000,MALE,High School,armed-forces,unmarried,45000,-30400,Vehicle Theft,Rear Collision,Minor Damage,None,3,1,YES,NO,250,250,1750,N
